Character,Word Count
ALEX,64
BEN,908
BERNARD,77
BONNIE,282
CAPTAIN,34
CHARLIE,519
CLAIRE,40
DESMOND,70
DIRECTOR,41
DOCTOR,44
DR. HAMILL,298
FEMALE OTHER,18
FEMALE VOICE,2
GRETA,79
HURLEY,170
JACK,1243
JIN,23
JULIET,161
KATE,306
KID,6
LOCKE,61
MALE DOCTOR,23
MALE OTHER,11
MAN,38
MIKHAIL,205
MINKOWSKI,32
MOTHER,2
NAOMI,213
PENNY,82
PHARMACIST,63
REPORTER,83
RICHARD,86
ROSE,71
ROUSSEAU,70
RYAN,113
SARAH,46
SAWYER,242
SAYID,97
STEWARDESS,57
SUN,35
TANNOY,9
TOM,174
VOICE,15
VOICEMAIL,28
WALT,30
WOMAN,2
